stage,seed,n_video,video,backbone,accuracy,f1
FE,1665,full,67,FL-BB,0.6136846578835529,0.5457458655238113
FE,1665,full,64,FL-BB,0.7572977481234362,0.5811771356506233
FE,1665,full,73,FL-BB,0.6393805309734514,0.6111920025498775
FE,1665,full,62,FL-BB,0.7578740157480315,0.7545843047033461
FE,8914,full,65,FL-BB,0.7581420181526962,0.5088467844947926
FE,8914,full,77,FL-BB,0.6986410871302957,0.6428342015569892
FE,8914,full,50,FL-BB,0.7632541133455211,0.542483735998723
FE,8914,full,69,FL-BB,0.8253551912568307,0.597182955527775
FE,8914,full,71,FL-BB,0.6604373757455269,0.4592125357883597
FE,8914,full,63,FL-BB,0.3163413923681911,0.3139978598664514
FE,8914,full,57,FL-BB,0.6193009118541033,0.507065014766931
FE,8914,full,56,FL-BB,0.4727371864776445,0.38050357046321753
FE,8914,full,58,FL-BB,0.5559819789754714,0.4164367365315492
FE,8914,full,78,FL-BB,0.5142083897158322,0.47509282061322294
FE,8914,full,75,FL-BB,0.6172646905876235,0.4275683652171932
FE,8914,full,49,FL-BB,0.6511071214841412,0.5980328783109672
FE,8914,full,54,FL-BB,0.6167741935483871,0.4812152778542303
FE,8914,full,66,FL-BB,0.8256578947368421,0.6951917932357891
FE,8914,full,76,FL-BB,0.7791619479048698,0.5780113016050699
FE,8914,full,70,FL-BB,0.6273031825795645,0.5523615942342996
FE,8914,full,53,FL-BB,0.7496192506853487,0.5726068228879443
FE,8914,full,55,FL-BB,0.7945998071359691,0.699445555118859
FE,8914,full,74,FL-BB,0.488984088127295,0.5073353073369473
FE,8914,full,59,FL-BB,0.6902485659655831,0.550519711121023
FE,8914,full,61,FL-BB,0.7298707189838965,0.42827343823963215
FE,8914,full,60,FL-BB,0.4976303317535545,0.40642022783447596
FE,8914,full,80,FL-BB,0.7569605568445475,0.5313737617845832
FE,8914,full,79,FL-BB,0.6824838898652607,0.5062447673844137
FE,8914,full,52,FL-BB,0.737029501525941,0.6534197168909193
FE,8914,full,68,FL-BB,0.6997971602434077,0.5869671080864448
FE,8914,full,51,FL-BB,0.5645380434782609,0.49184656369271956
FE,8914,full,72,FL-BB,0.5553766902768834,0.520951651219487
FE,8914,full,67,FL-BB,0.6617084572885678,0.5852790377831554
FE,8914,full,64,FL-BB,0.7481234361968306,0.5358773123423676
FE,8914,full,73,FL-BB,0.6504424778761062,0.5434519863796725
FE,8914,full,62,FL-BB,0.7563976377952756,0.7082599790709351
FE,37,full,65,CEN-BB,0.8184730379071009,0.5553254025913847
FE,37,full,77,CEN-BB,0.8117505995203836,0.7016732082349553
FE,37,full,50,CEN-BB,0.7650822669104205,0.628359556010861
FE,37,full,69,CEN-BB,0.8434972677595628,0.612085987419389
