stage,seed,n_video,video,backbone,accuracy,f1
S2,37,8,30,FL-BB,0.611306369304657,0.7249
S2,37,8,31,FL-BB,0.6223897933959961,0.6081
S2,1665,4,0,FL-BB,0.6163973808288574,0.6897
S2,1665,4,1,FL-BB,0.6307129859924316,0.5645
S2,1665,4,2,FL-BB,0.63722825050354,0.7065
S2,1665,4,3,FL-BB,0.6709054112434387,0.6106
S2,1665,4,4,FL-BB,0.595796525478363,0.5966
S2,1665,4,5,FL-BB,0.5706451535224915,0.6212
S2,1665,4,6,FL-BB,0.5564127564430237,0.6572
S2,1665,4,7,FL-BB,0.4580152630805969,0.4352
S2,1665,4,8,FL-BB,0.5759878158569336,0.6235
S2,1665,4,9,FL-BB,0.5711663365364075,0.5004
S2,1665,4,10,FL-BB,0.6070745587348938,0.6959
S2,1665,4,11,FL-BB,0.4731437563896179,0.5236
S2,1665,4,12,FL-BB,0.25243818759918213,0.3977
S2,1665,4,13,FL-BB,0.5442913174629211,0.7288
S2,1665,4,14,FL-BB,0.22953684628009796,0.52
S2,1665,4,15,FL-BB,0.4841534495353699,0.472
S2,1665,4,16,FL-BB,0.6481580138206482,0.5633
S2,1665,4,17,FL-BB,0.5279605388641357,0.6142
S2,1665,4,18,FL-BB,0.39948999881744385,0.6548
S2,1665,4,19,FL-BB,0.7190669178962708,0.7226
S2,1665,4,20,FL-BB,0.42469945549964905,0.494
S2,1665,4,21,FL-BB,0.33919596672058105,0.3434
S2,1665,4,22,FL-BB,0.5248509049415588,0.4923
S2,1665,4,23,FL-BB,0.42691564559936523,0.6088
S2,1665,4,24,FL-BB,0.7153392434120178,0.7913
S2,1665,4,25,FL-BB,0.4602203071117401,0.5653
S2,1665,4,26,FL-BB,0.3348934054374695,0.5514
S2,1665,4,27,FL-BB,0.6357116103172302,0.7314
S2,1665,4,28,FL-BB,0.5283772945404053,0.6317
S2,1665,4,29,FL-BB,0.617050051689148,0.6805
S2,1665,4,30,FL-BB,0.4018746316432953,0.6031
S2,1665,4,31,FL-BB,0.6954756379127502,0.5229
S2,8914,4,0,FL-BB,0.6906044483184814,0.7822
S2,8914,4,1,FL-BB,0.8263254165649414,0.6428
S2,8914,4,2,FL-BB,0.5584239363670349,0.7126
S2,8914,4,3,FL-BB,0.7558494210243225,0.7831
S2,8914,4,4,FL-BB,0.62412428855896,0.585
S2,8914,4,5,FL-BB,0.49612903594970703,0.7211
S2,8914,4,6,FL-BB,0.876567006111145,0.8107
S2,8914,4,7,FL-BB,0.5310795903205872,0.4724
S2,8914,4,8,FL-BB,0.5820668935775757,0.6548
S2,8914,4,9,FL-BB,0.349240779876709,0.5211
S2,8914,4,10,FL-BB,0.9110898375511169,0.8585
S2,8914,4,11,FL-BB,0.3297788202762604,0.5754
S2,8914,4,12,FL-BB,0.6468586921691895,0.6114
S2,8914,4,13,FL-BB,0.436515748500824,0.7588
S2,8914,4,14,FL-BB,0.35071367025375366,0.5513
S2,8914,4,15,FL-BB,0.5679733157157898,0.6294
S2,8914,4,16,FL-BB,0.6817939281463623,0.6304
S2,8914,4,17,FL-BB,0.749451756477356,0.7994
S2,8914,4,18,FL-BB,0.46536335349082947,0.7111
S2,8914,4,19,FL-BB,0.6916835904121399,0.7332
S2,8914,4,20,FL-BB,0.6107103824615479,0.6715
S2,8914,4,21,FL-BB,0.43551087379455566,0.5472
S2,8914,4,22,FL-BB,0.6214711666107178,0.5573
S2,8914,4,23,FL-BB,0.4642627239227295,0.7366
S2,8914,4,24,FL-BB,0.6047197580337524,0.7573
S2,8914,4,25,FL-BB,0.4749082028865814,0.6228
S2,8914,4,26,FL-BB,0.8127925395965576,0.6907
S2,8914,4,27,FL-BB,0.7097017765045166,0.755
S2,8914,4,28,FL-BB,0.6374900341033936,0.7409
S2,8914,4,29,FL-BB,0.5696887969970703,0.5682
S2,8914,4,30,FL-BB,0.3936731219291687,0.5929
S2,8914,4,31,FL-BB,0.48723897337913513,0.4923
S2,37,4,0,FL-BB,0.5798922777175903,0.7061
S2,37,4,1,FL-BB,0.5804387331008911,0.6734
S2,37,4,2,FL-BB,0.4633152186870575,0.5484
S2,37,4,3,FL-BB,0.6119023561477661,0.5424
S2,37,4,4,FL-BB,0.30551326274871826,0.573
S2,37,4,5,FL-BB,0.36903226375579834,0.5855
S2,37,4,6,FL-BB,0.37222757935523987,0.554
S2,37,4,7,FL-BB,0.2884405553340912,0.2929
S2,37,4,8,FL-BB,0.3240881562232971,0.5579
S2,37,4,9,FL-BB,0.29000499844551086,0.5457
S2,37,4,10,FL-BB,0.6443594694137573,0.7192
S2,37,4,11,FL-BB,0.3183254301548004,0.55
S2,37,4,12,FL-BB,0.19006577134132385,0.3515
S2,37,4,13,FL-BB,0.3238188922405243,0.6944
S2,37,4,14,FL-BB,0.18409554660320282,0.3963
S2,37,4,15,FL-BB,0.31693077087402344,0.4993
S2,37,4,16,FL-BB,0.43833422660827637,0.5636
S2,37,4,17,FL-BB,0.4660087823867798,0.5861
