resolution,backbone,run,image,iou
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15750_endo.png'],0.491
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15751_endo.png'],0.44838750000000005
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15752_endo.png'],0.47077500000000005
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15753_endo.png'],0.46957499999999996
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15754_endo.png'],0.46425
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15755_endo.png'],0.46095
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15756_endo.png'],0.4654
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15757_endo.png'],0.45145
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15758_endo.png'],0.458275
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15759_endo.png'],0.454375
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15760_endo.png'],0.4519875
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15761_endo.png'],0.450025
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15762_endo.png'],0.45311250000000003
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15763_endo.png'],0.4498375
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15764_endo.png'],0.4526125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15765_endo.png'],0.4513625
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15766_endo.png'],0.468525
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15767_endo.png'],0.468275
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15768_endo.png'],0.46226249999999997
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15769_endo.png'],0.48067499999999996
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15770_endo.png'],0.49861249999999996
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15771_endo.png'],0.4972875
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15772_endo.png'],0.4943875
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15773_endo.png'],0.4854125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15774_endo.png'],0.4708125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15775_endo.png'],0.48362499999999997
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15776_endo.png'],0.47550000000000003
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15777_endo.png'],0.4856125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15778_endo.png'],0.472175
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15779_endo.png'],0.4704125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15780_endo.png'],0.46355
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15781_endo.png'],0.4548249999999999
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15782_endo.png'],0.45435000000000003
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15783_endo.png'],0.4574625
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15784_endo.png'],0.4648875
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15785_endo.png'],0.4694875
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15786_endo.png'],0.45455
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15787_endo.png'],0.4492625
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15788_endo.png'],0.45113749999999997
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15789_endo.png'],0.45172500000000004
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15790_endo.png'],0.447125
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15791_endo.png'],0.4546625
high_res,CEN-Backbone,Run03,['/mnt/cluster/workspaces/kirchnema/preprocessed/video12/video12_15750/frame_15792_endo.png'],0.4639
