stage,seed,n_video,video,backbone,accuracy,f1
S2,37,8,30,FL-BB,0.8637961149215698,0.817
S2,37,8,31,FL-BB,0.9402552247047424,0.8436
S2,1665,4,0,FL-BB,0.8779174089431763,0.8596
S2,1665,4,1,FL-BB,0.9186471700668335,0.7526
S2,1665,4,2,FL-BB,0.80638587474823,0.8532
S2,1665,4,3,FL-BB,0.9506612420082092,0.9336
S2,1665,4,4,FL-BB,0.8629302382469177,0.7655
S2,1665,4,5,FL-BB,0.9461290240287781,0.907
S2,1665,4,6,FL-BB,0.8283510208129883,0.7212
S2,1665,4,7,FL-BB,0.6532170176506042,0.6897
S2,1665,4,8,FL-BB,0.6048632264137268,0.6134
S2,1665,4,9,FL-BB,0.4174870550632477,0.5339
S2,1665,4,10,FL-BB,0.7342256307601929,0.7535
S2,1665,4,11,FL-BB,0.2618483304977417,0.5566
S2,1665,4,12,FL-BB,0.7625311613082886,0.6836
S2,1665,4,13,FL-BB,0.8213582634925842,0.8465
S2,1665,4,14,FL-BB,0.5680162906646729,0.534
S2,1665,4,15,FL-BB,0.755212664604187,0.7597
S2,1665,4,16,FL-BB,0.9044314026832581,0.7497
S2,1665,4,17,FL-BB,0.8207237124443054,0.7663
S2,1665,4,18,FL-BB,0.8504037261009216,0.8557
S2,1665,4,19,FL-BB,0.8980730175971985,0.8519
S2,1665,4,20,FL-BB,0.8734426498413086,0.7817
S2,1665,4,21,FL-BB,0.7822445631027222,0.8165
S2,1665,4,22,FL-BB,0.6166998147964478,0.6378
S2,1665,4,23,FL-BB,0.7504829168319702,0.7733
S2,1665,4,24,FL-BB,0.8834808468818665,0.8885
S2,1665,4,25,FL-BB,0.7093023061752319,0.7457
S2,1665,4,26,FL-BB,0.7930316925048828,0.7653
S2,1665,4,27,FL-BB,0.7848244905471802,0.8192
S2,1665,4,28,FL-BB,0.8705036044120789,0.8619
S2,1665,4,29,FL-BB,0.7726657390594482,0.7702
S2,1665,4,30,FL-BB,0.779730498790741,0.636
S2,1665,4,31,FL-BB,0.7720417380332947,0.7348
S2,8914,4,0,FL-BB,0.8623578548431396,0.8471
S2,8914,4,1,FL-BB,0.9204753041267395,0.8087
S2,8914,4,2,FL-BB,0.693953812122345,0.7971
S2,8914,4,3,FL-BB,0.882502555847168,0.8659
S2,8914,4,4,FL-BB,0.8196771144866943,0.7276
S2,8914,4,5,FL-BB,0.853225827217102,0.8636
S2,8914,4,6,FL-BB,0.9344262480735779,0.9004
S2,8914,4,7,FL-BB,0.8238822221755981,0.7633
S2,8914,4,8,FL-BB,0.7940729260444641,0.7765
S2,8914,4,9,FL-BB,0.6012014150619507,0.6304
S2,8914,4,10,FL-BB,0.9216061234474182,0.8819
S2,8914,4,11,FL-BB,0.6556082367897034,0.6621
S2,8914,4,12,FL-BB,0.8337491750717163,0.7626
S2,8914,4,13,FL-BB,0.9483267664909363,0.8931
S2,8914,4,14,FL-BB,0.7725021839141846,0.6885
S2,8914,4,15,FL-BB,0.7952460646629333,0.7542
S2,8914,4,16,FL-BB,0.8109983801841736,0.6636
S2,8914,4,17,FL-BB,0.9309210777282715,0.8991
S2,8914,4,18,FL-BB,0.898852527141571,0.8704
S2,8914,4,19,FL-BB,0.8722109794616699,0.849
S2,8914,4,20,FL-BB,0.825573742389679,0.7743
S2,8914,4,21,FL-BB,0.8266331553459167,0.8363
S2,8914,4,22,FL-BB,0.8182902336120605,0.7351
S2,8914,4,23,FL-BB,0.813908576965332,0.8185
S2,8914,4,24,FL-BB,0.9078171253204346,0.8967
S2,8914,4,25,FL-BB,0.7325581312179565,0.7647
S2,8914,4,26,FL-BB,0.848673939704895,0.7594
S2,8914,4,27,FL-BB,0.7410343289375305,0.7676
S2,8914,4,28,FL-BB,0.9196642637252808,0.8749
S2,8914,4,29,FL-BB,0.7740189433097839,0.7614
S2,8914,4,30,FL-BB,0.8453426957130432,0.7723
S2,8914,4,31,FL-BB,0.8758700489997864,0.7756
